antecedents,consequents,support,confidence,lift
"frozenset({'22918', '22917'})",frozenset({'22916'}),0.01029098651525905,0.9441860465116279,78.58655676577372
frozenset({'22916'}),"frozenset({'22918', '22917'})",0.01029098651525905,0.8565400843881857,78.58655676577372
"frozenset({'22918', '22916'})",frozenset({'22917'}),0.01029098651525905,0.9530516431924883,78.33290297339593
frozenset({'22917'}),"frozenset({'22918', '22916'})",0.01029098651525905,0.8458333333333333,78.33290297339592
"frozenset({'22920', '22916'})",frozenset({'22917'}),0.01013890297069857,0.9523809523809523,78.27777777777777
frozenset({'22917'}),"frozenset({'22920', '22916'})",0.01013890297069857,0.8333333333333333,78.27777777777777
"frozenset({'22917', '22920'})",frozenset({'22916'}),0.01013890297069857,0.9345794392523364,77.78697898182105
frozenset({'22916'}),"frozenset({'22917', '22920'})",0.01013890297069857,0.8438818565400844,77.78697898182105
frozenset({'22916'}),frozenset({'22917'}),0.01120348778262192,0.9324894514767933,76.64286216596344
frozenset({'22917'}),frozenset({'22916'}),0.01120348778262192,0.9208333333333333,76.64286216596342
