antecedents,consequents,support,confidence,lift
"frozenset({'22918', '22917'})",frozenset({'22916'}),0.010257187610530039,0.944186046511628,78.84551074477481
frozenset({'22916'}),"frozenset({'22918', '22917'})",0.010257187610530039,0.8565400843881857,78.84551074477481
"frozenset({'22918', '22916'})",frozenset({'22917'}),0.010257187610530039,0.9530516431924883,78.59102112676057
frozenset({'22917'}),"frozenset({'22918', '22916'})",0.010257187610530039,0.8458333333333333,78.59102112676057
"frozenset({'22920', '22916'})",frozenset({'22917'}),0.010105603557172452,0.9523809523809524,78.53571428571429
frozenset({'22917'}),"frozenset({'22920', '22916'})",0.010105603557172452,0.8333333333333333,78.53571428571428
"frozenset({'22920', '22917'})",frozenset({'22916'}),0.010105603557172452,0.9345794392523364,78.0432982373122
frozenset({'22916'}),"frozenset({'22920', '22917'})",0.010105603557172452,0.8438818565400844,78.0432982373122
frozenset({'22916'}),frozenset({'22917'}),0.01116669193067556,0.9324894514767934,76.89541139240508
frozenset({'22917'}),frozenset({'22916'}),0.01116669193067556,0.9208333333333334,76.89541139240507
