antecedents,consequents,support,confidence,lift
"frozenset({'22919', '22916'})",frozenset({'22917'}),0.01010713563776026,0.9803921568627452,86.60714285714286
frozenset({'22917'}),"frozenset({'22919', '22916'})",0.01010713563776026,0.8928571428571429,86.60714285714286
"frozenset({'22918', '22917'})",frozenset({'22916'}),0.01010713563776026,0.9803921568627452,85.08771929824562
frozenset({'22916'}),"frozenset({'22918', '22917'})",0.01010713563776026,0.8771929824561403,85.08771929824562
"frozenset({'22917', '22919'})",frozenset({'22916'}),0.01010713563776026,0.9803921568627452,85.08771929824562
frozenset({'22916'}),"frozenset({'22917', '22919'})",0.01010713563776026,0.8771929824561403,85.08771929824562
"frozenset({'22918', '22916'})",frozenset({'22917'}),0.01010713563776026,0.9615384615384616,84.94162087912089
frozenset({'22917'}),"frozenset({'22918', '22916'})",0.01010713563776026,0.8928571428571429,84.94162087912088
frozenset({'22917'}),frozenset({'22916'}),0.010915706488781079,0.9642857142857143,83.68984962406014
frozenset({'22916'}),frozenset({'22917'}),0.010915706488781079,0.9473684210526314,83.68984962406014
